price,fuel_type,gear_type,Make,Year_of_manufacture,Condition,Mileage,Engine_size
5250000,Petrol,Automatic,Toyota,2003,Local Used,110849.0,4000.0
6478500,Petrol,Automatic,Toyota,2010,Local Used,109199.0,2500.0
5460000,Petrol,Automatic,Nissan,2014,Local Used,157875.0,2500.0
14175000,Petrol,Automatic,Toyota,2013,Local Used,113929.0,3500.0
13650000,Petrol,Automatic,Hyundai,2017,Foreign Used,101385.0,2400.0
8400000,Petrol,Automatic,Lexus,2009,Local Used,226611.0,3500.0
14910000,Petrol,Automatic,Ford,2018,Local Used,8654.0,2000.0
9450000,Petrol,Automatic,Ford,2013,Local Used,169696.0,2000.0
4998000,Petrol,Automatic,Toyota,2007,Local Used,121990.0,2400.0
4987500,Petrol,Automatic,Peugeot,2004,Local Used,237206.0,2200.0
21000000,Petrol,Automatic,Toyota,2004,Local Used,159609.0,4000.0
5460000,Petrol,Automatic,Ford,2008,Local Used,299002.0,4000.0
4368000,Petrol,Automatic,Honda,2007,Local Used,265266.0,3500.0
5712000,Petrol,Automatic,Toyota,2007,Local Used,128667.0,2400.0
9360000,Petrol,Automatic,Toyota,2008,Local Used,198922.0,4000.0
11025000,Petrol,Automatic,Toyota,2008,Local Used,155599.0,3500.0
8190000,Petrol,Automatic,Lexus,2009,Local Used,295319.0,3500.0
21000000,Petrol,Automatic,Toyota,2004,Local Used,159609.0,4000.0
6300000,Petrol,Automatic,Toyota,2007,Local Used,612799.0,3500.0
6930000,Petrol,Automatic,Toyota,2009,Local Used,97225.0,1800.0
9502500,Petrol,Automatic,Mercedes-Benz,2010,Local Used,174697.0,5500.0
23992500,Petrol,Automatic,Toyota,2021,Foreign Used,54820.0,2500.0
6240000,Petrol,Automatic,Toyota,2003,Local Used,297809.0,3000.0
5668000,Petrol,Automatic,Toyota,2006,Local Used,191586.0,1800.0
20280000,Petrol,Automatic,Mercedes-Benz,2010,Foreign Used,172614.0,3500.0
10500000,Petrol,Automatic,Kia,2016,Local Used,76216.0,1600.0
13156500,Petrol,Automatic,Mercedes-Benz,2010,Foreign Used,402735.0,3500.0
16016000,Petrol,Automatic,Toyota,2015,Local Used,142230.0,2500.0
8190000,Petrol,Automatic,Lexus,2009,Local Used,150655.0,3500.0
18720000,Petrol,Automatic,Mercedes-Benz,2015,Local Used,82228.0,3500.0
8925000,Petrol,Automatic,Toyota,2004,Foreign Used,209453.0,2000.0
3120000,Petrol,Automatic,Honda,2003,Local Used,288468.0,2400.0
4725000,Petrol,Automatic,Toyota,2005,Local Used,122460.0,1800.0
13440000,Petrol,Automatic,Toyota,2010,Local Used,151868.0,3500.0
20800000,Petrol,Automatic,Mercedes-Benz,2015,Local Used,37119.0,2000.0
7560000,Petrol,Automatic,Mercedes-Benz,2008,Local Used,146314.0,3500.0
7140000,Petrol,Automatic,Toyota,2009,Local Used,185669.0,2400.0
25725000,Petrol,Automatic,Toyota,2021,Local Used,123025.0,1800.0
8320000,Petrol,Automatic,Mercedes-Benz,2008,Local Used,146218.0,3500.0
4200000,Petrol,Automatic,Toyota,2004,Local Used,391151.0,2400.0
10350000,Petrol,Automatic,Lexus,2010,Local Used,109469.0,3500.0
16875000,Petrol,Automatic,Toyota,2014,Foreign Used,110482.0,1800.0
2250000,Petrol,Automatic,Honda,2001,Local Used,207416.0,2000.0
3937500,Petrol,Automatic,Toyota,2001,Local Used,250000.0,3000.0
3937500,Petrol,Automatic,Toyota,2001,Local Used,250000.0,3000.0
12150000,Petrol,Automatic,Toyota,2014,Local Used,251343.0,2500.0
3937500,Petrol,Automatic,Toyota,2003,Local Used,187768.0,3000.0
3937500,Petrol,Automatic,Honda,2008,Local Used,124423.0,3500.0
6187500,Petrol,Automatic,Toyota,2007,Local Used,148449.0,4000.0
27040000,Petrol,Automatic,Toyota,2016,Local Used,127168.0,3500.0
3675000,Petrol,Automatic,Mitsubishi,2005,Local Used,310132.0,3800.0
3600000,Petrol,Automatic,Volkswagen,2006,Local Used,278000.0,2000.0
10687500,Petrol,Automatic,BMW,2009,Local Used,245353.0,5000.0
3937500,Petrol,Automatic,Hyundai,2009,Local Used,254134.0,2700.0
6232500,Petrol,Automatic,Toyota,2006,Local Used,266573.0,3300.0
5775000,Petrol,Automatic,Ford,2010,Local Used,156818.0,3500.0
8400000,Petrol,Automatic,Nissan,2012,Foreign Used,109007.0,2500.0
6750000,Petrol,Automatic,Toyota,2007,Local Used,223880.0,2400.0
8400000,Petrol,Automatic,Nissan,2012,Foreign Used,109007.0,2500.0
4725000,Petrol,Automatic,Ford,2009,Local Used,288963.0,3500.0
4725000,Petrol,Automatic,Mercedes-Benz,1984,Local Used,310058.0,1800.0
14040000,Petrol,Automatic,Hyundai,2016,Local Used,58422.0,2400.0
8840000,Petrol,Automatic,Lexus,2007,Local Used,182203.0,3500.0
5250000,Petrol,Automatic,Toyota,2002,Local Used,289636.0,3000.0
9360000,Petrol,Automatic,Lexus,2008,Local Used,203295.0,3500.0
10500000,Petrol,Automatic,Mercedes-Benz,2011,Local Used,138166.0,5500.0
11550000,Petrol,Automatic,Toyota,2010,Local Used,73150.0,3500.0
14700000,Petrol,CVT,Hyundai,2017,Foreign Used,149630.0,2000.0
11232000,Petrol,Automatic,Lexus,2011,Local Used,171299.0,3500.0
20250000,Petrol,Automatic,Mercedes-Benz,2013,Local Used,93538.0,3500.0
22050000,Petrol,Automatic,Toyota,2017,Foreign Used,19985.0,3500.0
20475000,Petrol,Automatic,Toyota,2017,Foreign Used,201227.0,3500.0
6656000,Petrol,Automatic,Toyota,2006,Local Used,207353.0,3300.0
9048000,Petrol,Automatic,Lexus,2008,Local Used,290440.0,3500.0
6877500,Petrol,Automatic,Lexus,2006,Local Used,243530.0,2500.0
9817500,Petrol,Automatic,Ford,2014,Local Used,242178.0,3500.0
6300000,Petrol,Automatic,Toyota,2009,Local Used,306912.0,2400.0
5460000,Petrol,Automatic,Ford,2008,Local Used,299002.0,4000.0
5985000,Petrol,Automatic,Toyota,2007,Local Used,164472.0,3500.0
6240000,Petrol,Automatic,Toyota,2006,Local Used,315940.0,1800.0
13125000,Petrol,Automatic,GMC,2012,Local Used,1702249.0,3500.0
7488000,Petrol,Automatic,Toyota,2007,Local Used,241190.0,2400.0
8400000,Petrol,Automatic,Cadillac,2008,Local Used,209721.0,3600.0
5250000,Petrol,Automatic,Toyota,2003,Local Used,110849.0,4000.0
5250000,Petrol,Automatic,Lexus,2005,Local Used,201241.0,3300.0
11440000,Petrol,Automatic,Toyota,2008,Local Used,447093.0,3500.0
6300000,Petrol,CVT,Nissan,2010,Local Used,22491.0,3500.0
12600000,Diesel,Manual,Toyota,2001,Local Used,25147.0,3000.0
7318500,Petrol,Automatic,Mercedes-Benz,2008,Local Used,437595.0,3000.0
15600000,Petrol,Automatic,Toyota,2012,Foreign Used,137469.0,2500.0
