price,fuel_type,gear_type,Make,Year_of_manufacture,Condition,Mileage,Engine_size,Selling_Condition,Bought_Condition
6300000,Petrol,Automatic,Peugeot,2004,Local Used,285474.0,2200.0,Registered,Registered
78750000,Petrol,Automatic,Lexus,2019,Foreign Used,54237.0,3500.0,Imported,Imported
13650000,Petrol,Automatic,Toyota,2011,Local Used,174157.0,5700.0,Registered,Imported
5720000,Petrol,Automatic,Toyota,2006,Local Used,183703.0,3500.0,Registered,Registered
13650000,Petrol,Automatic,Honda,2013,Foreign Used,238318.0,3500.0,Imported,Imported
4998000,Petrol,Automatic,Toyota,2004,Local Used,235793.0,3300.0,Registered,Imported
8032500,Petrol,Automatic,Toyota,2010,Local Used,137480.0,3500.0,Registered,Imported
6825000,Petrol,Automatic,Ford,2010,Local Used,132196.0,3500.0,Registered,Imported
6552000,Petrol,Automatic,Toyota,2005,Local Used,161143.0,3300.0,Registered,Registered
5304000,Petrol,Automatic,Honda,2008,Local Used,116382.0,2400.0,Registered,Imported
4200000,Petrol,Automatic,Ford,2009,Local Used,293490.0,3500.0,Registered,Imported
4200000,Petrol,Automatic,Kia,2009,Local Used,79311.0,2000.0,Registered,Registered
13520000,Petrol,Automatic,Lexus,2008,Foreign Used,410421.0,2500.0,Imported,Imported
77000000,Petrol,Automatic,Toyota,2023,Foreign Used,34083.0,3500.0,Imported,Imported
6804000,Petrol,Automatic,Hyundai,2011,Local Used,299465.0,2500.0,Registered,Registered
8112000,Petrol,Automatic,Toyota,2006,Local Used,110346.0,3500.0,Registered,Registered
4515000,Petrol,Automatic,Toyota,2007,Local Used,150590.0,3500.0,Registered,Registered
5775000,Petrol,Automatic,Toyota,2008,Local Used,152143.0,2400.0,Registered,Registered
8400000,Petrol,Automatic,Ford,2004,Foreign Used,257059.0,4000.0,Imported,Imported
7020000,Petrol,Automatic,Toyota,2006,Local Used,224181.0,3300.0,Registered,Imported
4680000,Petrol,Automatic,Honda,2003,Local Used,341556.0,3500.0,Registered,Imported
11908000,Petrol,Automatic,Toyota,2009,Foreign Used,379860.0,1800.0,Imported,Imported
11550000,Petrol,Automatic,Nissan,2014,Local Used,133647.0,3500.0,Registered,Imported
26880000,Petrol,Automatic,Toyota,2012,Local Used,161080.0,2700.0,Registered,Imported
13650000,Petrol,Automatic,Ford,2016,Local Used,214716.0,3500.0,Registered,Imported
10290000,Petrol,Automatic,Toyota,2013,Local Used,148183.0,2400.0,Registered,Registered
6636000,Petrol,Automatic,Toyota,2010,Local Used,164617.0,2400.0,Registered,Imported
18375000,Petrol,Automatic,Mercedes-Benz,2015,Local Used,152306.0,2500.0,Registered,Registered
4725000,Petrol,Automatic,Mercedes-Benz,2005,Local Used,433817.0,3200.0,Registered,Registered
8400000,Petrol,Automatic,Lexus,2005,Local Used,206521.0,3300.0,Registered,Registered
4725000,Petrol,Automatic,Mercedes-Benz,2005,Local Used,433817.0,3200.0,Registered,Registered
7586250,Petrol,Automatic,Toyota,2012,Local Used,116824.0,1800.0,Registered,Brand new
8400000,Petrol,Automatic,Mercedes-Benz,2012,Local Used,152372.0,3000.0,Registered,Registered
10500000,Petrol,CVT,Honda,2014,Local Used,205536.0,2400.0,Registered,Registered
6720000,Petrol,Automatic,Toyota,2008,Local Used,128746.0,2400.0,Registered,Imported
7665000,Petrol,Automatic,Mercedes-Benz,2007,Local Used,181033.0,3500.0,Registered,Imported
31500000,Petrol,Automatic,Acura,2019,Foreign Used,70295.0,3500.0,Imported,Imported
4515000,Petrol,Automatic,Toyota,2007,Local Used,150590.0,3500.0,Registered,Registered
10605000,Petrol,Automatic,Toyota,2011,Local Used,373366.0,3500.0,Registered,Imported
23100000,Petrol,Automatic,Hyundai,2017,Local Used,72140.0,1600.0,Registered,Registered
15600000,Petrol,Automatic,Toyota,2013,Local Used,213124.0,3500.0,Registered,Registered
3640000,Petrol,Automatic,Toyota,2002,Local Used,127697.0,2000.0,Registered,Registered
8320000,Petrol,Automatic,Toyota,2010,Local Used,17859.0,2500.0,Registered,Registered
12600000,Petrol,Automatic,Toyota,2009,Local Used,138683.0,2700.0,Registered,Registered
6760000,Petrol,Automatic,Toyota,2008,Local Used,350799.0,3500.0,Registered,Imported
7350000,Petrol,Automatic,Lexus,2007,Local Used,167452.0,3500.0,Registered,Registered
9450000,Petrol,Automatic,Land Rover,2005,Local Used,195385.0,4400.0,Registered,Imported
8840000,Petrol,Automatic,Lexus,2007,Local Used,95520.0,3500.0,Registered,Registered
4830000,Petrol,Automatic,Toyota,2004,Local Used,277057.0,3300.0,Registered,Imported
4749150,Petrol,Automatic,Toyota,2006,Local Used,234352.0,1800.0,Registered,Imported
4515000,Petrol,Automatic,Toyota,2005,Local Used,338621.0,3500.0,Registered,Imported
5775000,Petrol,Automatic,Toyota,2008,Local Used,90426.0,2400.0,Registered,Imported
12600000,Petrol,Automatic,Mercedes-Benz,2013,Local Used,80597.0,3500.0,Registered,Registered
9975000,Petrol,Automatic,Honda,2014,Local Used,130913.0,2500.0,Registered,Registered
8400000,Petrol,Automatic,Lexus,2008,Local Used,216259.0,2500.0,Registered,Imported
42000000,Petrol,Automatic,Mercedes-Benz,2019,Foreign Used,111984.0,3500.0,Imported,Imported
7350000,Petrol,Automatic,Lexus,2003,Local Used,430672.0,4700.0,Registered,Imported
7350000,Petrol,Automatic,Lexus,2003,Local Used,430672.0,4700.0,Registered,Imported
7800000,Petrol,Automatic,Toyota,2007,Local Used,144782.0,3500.0,Registered,Imported
4200000,Petrol,Automatic,Honda,2007,Local Used,177357.0,3000.0,Registered,Registered
12500009,Petrol,Automatic,Toyota,2012,Local Used,241058.0,3500.0,Registered,Registered
16432000,Petrol,Automatic,Toyota,2012,Local Used,220251.0,3500.0,Registered,Imported
5775000,Petrol,Automatic,Peugeot,2011,Local Used,113245.0,2000.0,Registered,Registered
7140000,Petrol,Automatic,Lexus,2007,Local Used,100873.0,3500.0,Registered,Registered
26250000,Petrol,Automatic,Toyota,2016,Local Used,135565.0,3500.0,Registered,Imported
21000000,Petrol,Automatic,Jeep,2014,Local Used,106391.0,3700.0,Registered,Imported
21420000,Petrol,Automatic,Mercedes-Benz,2014,Foreign Used,101380.0,3500.0,Imported,Imported
6825000,Petrol,Automatic,Toyota,2010,Local Used,241238.0,2500.0,Registered,Imported
5943000,Petrol,Automatic,Toyota,2009,Local Used,141187.0,3500.0,Registered,Registered
4725000,Petrol,Automatic,Jeep,2003,Local Used,305404.0,3700.0,Registered,Registered
9880000,Petrol,Automatic,Lexus,2007,Local Used,273956.0,3500.0,Registered,Registered
5943000,Petrol,Automatic,Toyota,2009,Local Used,141187.0,3500.0,Registered,Registered
4725000,Petrol,Automatic,Jeep,2003,Local Used,305404.0,3700.0,Registered,Registered
9880000,Petrol,Automatic,Lexus,2007,Local Used,273956.0,3500.0,Registered,Registered
9360000,Petrol,Automatic,Lexus,2007,Local Used,218615.0,2500.0,Registered,Imported
7875000,Petrol,Automatic,Lexus,2008,Local Used,286242.0,3500.0,Registered,Registered
21000000,Petrol,Automatic,Mercedes-Benz,2013,Foreign Used,174901.0,3500.0,Imported,Imported
9152000,Petrol,Automatic,Lexus,2007,Local Used,161332.0,3500.0,Registered,Imported
23920000,Petrol,Automatic,Lexus,2010,Foreign Used,256203.0,3500.0,Imported,Imported
4725000,Petrol,Automatic,Toyota,2007,Local Used,315894.0,3500.0,Registered,Registered
10500000,Petrol,CVT,Toyota,2012,Local Used,186173.0,2500.0,Registered,Registered
24750000,Petrol,Automatic,Lexus,2013,Foreign Used,188215.0,3500.0,Imported,Imported
10500000,Petrol,Automatic,Mercedes-Benz,2010,Local Used,369866.0,4600.0,Registered,Registered
6864000,Petrol,Automatic,Toyota,2008,Local Used,124651.0,2400.0,Registered,Registered
5775000,Petrol,Automatic,Toyota,2002,Local Used,490092.0,4700.0,Registered,Imported
5775000,Petrol,Automatic,Ford,2004,Local Used,304533.0,5400.0,Registered,Imported
13650000,Petrol,Automatic,Lexus,2008,Foreign Used,257738.0,3500.0,Imported,Imported
15600000,Petrol,Automatic,Lexus,2008,Foreign Used,318980.0,3500.0,Imported,Imported
15750000,Petrol,Automatic,Hyundai,2015,Foreign Used,226995.0,2400.0,Imported,Imported
21840000,Petrol,Automatic,Mercedes-Benz,2013,Local Used,123319.0,3500.0,Registered,Imported
28350000,Petrol,Automatic,Land Rover,2013,Foreign Used,142774.0,5000.0,Imported,Imported
18900000,Petrol,Automatic,Toyota,2018,Foreign Used,81378.0,1800.0,Imported,Imported
7800000,Petrol,Automatic,Mercedes-Benz,2006,Local Used,270388.0,3500.0,Registered,Imported
4239375,Petrol,Automatic,Toyota,2005,Local Used,294734.0,3000.0,Registered,Registered
10500000,Petrol,Automatic,Toyota,2010,Foreign Used,173188.0,2500.0,Imported,Imported
14700000,Petrol,Automatic,Mercedes-Benz,2013,Foreign Used,184372.0,3500.0,Imported,Imported
6300000,Petrol,Automatic,Toyota,2012,Local Used,293747.0,1800.0,Registered,Brand new
7280000,Petrol,Automatic,Hyundai,2009,Local Used,391122.0,3300.0,Registered,Imported
6806250,Petrol,Automatic,Toyota,2007,Local Used,246032.0,1800.0,Registered,Imported
6300000,Petrol,Automatic,Toyota,2012,Local Used,293747.0,1800.0,Registered,Brand new
7280000,Petrol,Automatic,Hyundai,2009,Local Used,391122.0,3300.0,Registered,Imported
6806250,Petrol,Automatic,Toyota,2007,Local Used,246032.0,1800.0,Registered,Imported
9880000,Petrol,Automatic,Lexus,2007,Local Used,94377.0,3500.0,Registered,Registered
16875000,Petrol,Automatic,Lexus,2010,Foreign Used,193180.0,3500.0,Imported,Imported
4184000,Petrol,Automatic,Honda,2003,Local Used,232439.0,3500.0,Registered,Registered
8835750,Petrol,Automatic,Honda,2009,Foreign Used,343447.0,2400.0,Imported,Imported
50625000,Petrol,Automatic,Lexus,2018,Local Used,71199.0,3500.0,Registered,Imported
9450000,Petrol,Automatic,Land Rover,2012,Local Used,35099.0,2000.0,Registered,Imported
5824000,Petrol,Automatic,Toyota,2006,Local Used,139165.0,2500.0,Registered,Registered
6300000,Petrol,Automatic,Toyota,2007,Local Used,142728.0,1800.0,Registered,Imported
8320000,Petrol,Automatic,Toyota,2009,Local Used,18248.0,1800.0,Registered,Imported
7140000,Petrol,Automatic,Ford,2014,Local Used,147533.0,3500.0,Registered,Brand new
