price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 9,450,000",Petrol,Automatic,Ford,Explorer,2013,Silver,Local Used,133673,3500,Registered,Imported,Ford Explorer 2013 Silver,,,,,,Lagos
"₦ 32,550,000",Petrol,Automatic,Toyota,RAV4,2020,Silver,Local Used,45111,2500,Registered,Imported,Toyota RAV4 2020 Silver,,,,,,
"₦ 6,153,000",Petrol,Automatic,Honda,Accord Crosstour,2010,Silver,Local Used,242313,3500,Registered,Registered,Honda Accord Crosstour 2010 Silver,,,,,,Abuja
"₦ 3,990,000",Petrol,Automatic,Ford,Edge,2009,Black,Local Used,194890,3500,Registered,Registered,Ford Edge 2009 Black,,,,,,Lagos
"₦ 15,225,000",Petrol,Automatic,Lexus,RX 350,2010,Gray,Local Used,457482,3500,Registered,Imported,Lexus RX 350 2010 Gray,,,,,,Lagos
"₦ 17,850,000",Petrol,Automatic,Volkswagen,Touareg,2016,Blue,Foreign Used,80308,3600,Imported,Registered,Volkswagen Touareg 2016 Blue,,,,,,
"₦ 14,040,000",Petrol,Automatic,Toyota,Venza,2010,Gray,Local Used,173163,3500,Registered,Registered,Toyota Venza 2010 Gray,,,,,,LAGOS
"₦ 6,090,000",Petrol,Automatic,Toyota,Camry,2011,Gray,Local Used,133113,2500,Registered,Registered,Toyota Camry 2011 Gray,,,,,,
"₦ 8,925,000",Petrol,Automatic,Ford,Explorer,2015,Beige,Local Used,126943,3500,Registered,Brand new,Ford Explorer Limited 4dr SUV (3.5L 6cyl 6A) 2015 Beige,Limited 4dr SUV (3.5L 6cyl 6A),Front Wheel,,6,290,Lagos
"₦ 8,478,750",Petrol,Automatic,Lexus,RX 350,2007,Black,Local Used,135704,3500,Registered,Imported,Lexus RX 350 2007 Black,,,,,,Lagos
"₦ 10,500,000",Petrol,Automatic,Mercedes-Benz,GLK-Class,2010,Black,Local Used,208476,3500,Registered,Registered,Mercedes-Benz GLK-Class 2010 Black,,,,,,Lagos
"₦ 3,990,000",Petrol,Automatic,Ford,Edge,2009,Black,Local Used,194890,3500,Registered,Registered,Ford Edge 2009 Black,,,,,,Lagos
"₦ 5,040,000",Petrol,Automatic,Honda,Accord,2008,White,Local Used,184168,2400,Registered,Registered,Honda Accord 2.4 EX 2008 White,2.4 EX,Front Wheel,5,4,193,KADUNA
"₦ 7,350,000",Petrol,Automatic,Land Rover,Range Rover Sport,2006,White,Local Used,209568,4400,Registered,Registered,Land Rover Range Rover Sport HSE 4x4 (4.4L 8cyl 6A) 2006 White,HSE 4x4 (4.4L 8cyl 6A),All Wheel,5,8,304,IMO
"₦ 4,160,000",Petrol,Automatic,Acura,MDX,2006,White,Local Used,154460,3500,Registered,Imported,Acura MDX 2006 White,,,,,,
"₦ 6,300,000",Petrol,Automatic,Honda,Accord Crosstour,2012,Black,Local Used,115595,2400,Registered,Imported,Honda Accord Crosstour 2012 Black,,,,,,
"₦ 3,675,000",Petrol,Automatic,Nissan,Maxima,2006,Red,Local Used,138391,3500,Registered,Imported,Nissan Maxima 2006 Red,,,,,,
"₦ 5,460,000",Petrol,Automatic,Toyota,Camry,2007,Gray,Local Used,15180,2400,Registered,Brand new,Toyota Camry 2007 Gray,,,,,,RIVERS
"₦ 7,350,000",Petrol,Automatic,Mercedes-Benz,GL-Class,2010,Black,Local Used,89344,5500,Registered,Registered,Mercedes-Benz GL-Class 2010 Black,,,,,,Lagos
"₦ 12,600,000",Petrol,Automatic,GMC,Terrain,2011,Silver,Local Used,179574,3000,Registered,Imported,GMC Terrain 2011 Silver,,,,,,
"₦ 5,775,000",Petrol,Automatic,Toyota,Highlander,2002,Gold,Local Used,95317,3000,Registered,Imported,Toyota Highlander 2002 Gold,,,,,,Rivers
"₦ 7,980,000",Petrol,Automatic,Mercedes-Benz,C300,2009,Burgandy,Local Used,520021,3000,Registered,Imported,Mercedes-Benz C300 2009 Burgandy,,,,,,
"₦ 6,299,999",Petrol,Automatic,Lexus,ES,2005,White,Local Used,341849,3300,Registered,Registered,Lexus ES 2005 White,,,,,,LAGOS
"₦ 13,125,000",Petrol,Automatic,Toyota,Venza,2010,Black,Local Used,296902,3500,Registered,Imported,Toyota Venza V6 AWD 2010 Black,V6 AWD,All Wheel,5,6,273,Abia
"₦ 8,400,000",Petrol,Automatic,Volkswagen,Touran,2004,Silver,Foreign Used,247041,2000,Imported,Imported,Volkswagen Touran 2004 Silver,,,,,,
"₦ 6,153,000",Petrol,Automatic,Honda,Accord Crosstour,2010,Silver,Local Used,242313,3500,Registered,Registered,Honda Accord Crosstour 2010 Silver,,,,,,Abuja
"₦ 5,250,000",Petrol,Automatic,Honda,CR-V,2007,Green,Local Used,164891,2800,Registered,Registered,Honda CR-V 2.0i Automatic 2007 Green,2.0i Automatic,,5,4,150,LAGOS
"₦ 4,620,000",Petrol,Automatic,Ford,Edge,2010,Silver,Local Used,340463,3500,Registered,Registered,Ford Edge 2010 Silver,,,,,,LAGOS
"₦ 5,250,000",Petrol,Automatic,Toyota,Camry,2007,Black,Local Used,246302,2400,Registered,Registered,Toyota Camry 2007 Black,,,,,,Lagos
"₦ 6,510,000",Petrol,Automatic,Mercedes-Benz,C350,2008,Black,Local Used,219639,3500,Registered,Imported,Mercedes-Benz C350 2008 Black,,,,,,Lagos
