price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 22,050,000",Petrol,Automatic,Toyota,Venza,2015,Blue,Foreign Used,130106,2700,Imported,Imported,Toyota Venza 2015 Blue,,,,,,
"₦ 15,080,000",Petrol,Automatic,Toyota,Camry,2013,Gray,Foreign Used,117298,2500,Imported,Imported,Toyota Camry 2013 Gray,,,,,,
"₦ 24,960,000",Petrol,Automatic,Mercedes-Benz,C300,2015,Gray,Local Used,106396,2000,Registered,Registered,Mercedes-Benz C300 2015 Gray,,,,,,Abuja
"₦ 16,590,000",Petrol,Automatic,Toyota,Highlander,2009,Black,Foreign Used,169592,3500,Imported,Imported,Toyota Highlander 2009 Black,,,,,,
"₦ 13,125,000",Petrol,Automatic,Nissan,Quest,2011,Silver,Foreign Used,139418,3500,Imported,Imported,Nissan Quest SV 2011 Silver,SV,Front Wheel,7,6,264,
"₦ 8,840,000",Petrol,Automatic,Toyota,Camry,2011,Silver,Local Used,,2400,Registered,Registered,Toyota Camry 2011 Silver,,,,,,
"₦ 7,779,200",Petrol,Automatic,Toyota,Highlander,2004,Silver,Local Used,195456,3300,Registered,Registered,Toyota Highlander 2004 Silver,,,,,,Lagos
"₦ 84,000,000",Petrol,Automatic,Mercedes-Benz,GLE43,2016,Gray,Foreign Used,155014,3000,Imported,Imported,Mercedes-Benz GLE43 2016 Gray,,,,,,
"₦ 82,160,000",Petrol,Automatic,Toyota,Land Cruiser Prado,2022,Black,Local Used,84230,,Registered,Imported,Toyota Land Cruiser Prado 2022 Black,,,,,,KADUNA
"₦ 16,275,000",Petrol,Automatic,Toyota,Highlander,2009,Gray,Foreign Used,73228,3500,Imported,Imported,Toyota Highlander 2009 Gray,,,,,,
"₦ 16,120,000",Petrol,Automatic,Toyota,Highlander,2008,Red,Local Used,296284,3500,Registered,Imported,Toyota Highlander 2008 Red,,,,,,LAGOS
"₦ 23,400,000",Petrol,Automatic,Lexus,RX 350,2011,Silver,Foreign Used,255046,3500,Imported,Imported,Lexus RX 350 2011 Silver,,,,,,
"₦ 6,240,000",Petrol,Automatic,Toyota,Sienna,2004,Red,Local Used,300668,3300,Registered,Imported,Toyota Sienna 2004 Red,,,,,,OGUN
"₦ 6,240,000",Petrol,Automatic,Toyota,Sienna,2004,Red,Local Used,300668,3300,Registered,Imported,Toyota Sienna 2004 Red,,,,,,OGUN
"₦ 9,360,000",Petrol,Automatic,Mercedes-Benz,M Class,2006,Black,Local Used,251253,3500,Registered,Imported,Mercedes-Benz M Class 2006 Black,,,,,,Lagos
"₦ 15,392,000",Petrol,Automatic,Toyota,Camry,2012,Red,Foreign Used,89208,2500,Imported,Imported,Toyota Camry 2012 Red,,,,,,
"₦ 10,400,000",Petrol,Automatic,Toyota,Sienna,2008,Gray,Local Used,107606,3500,Registered,Imported,Toyota Sienna 2008 Gray,,,,,,
"₦ 8,320,000",Petrol,Automatic,Toyota,Camry,2008,Red,Local Used,234062,2500,Registered,Registered,Toyota Camry 2008 Red,,,,,,LAGOS
"₦ 21,018,375",Petrol,Automatic,Toyota,Venza,2015,Blue,Foreign Used,207513,2700,Imported,Imported,Toyota Venza 2015 Blue,,,,,,
